Rewards,Lengths,Loss,Q1,Best_Distances
61.9,100,0.51846,5.42022,700
24.1,35,0.5812,5.434,300
23.4,35,0.73766,5.38257,303
61.3,95,0.80079,5.30575,689
192.75,262,0.57957,5.41656,2020
23.85,34,0.63378,5.37547,315
103.5,156,0.66321,5.40624,1127
24.8,36,0.63687,5.3119,313
58.4,100,0.38117,5.44318,661
24.6,34,0.30485,5.26608,310
106.9,148,0.71378,5.39313,1151
59.5,89,0.6501,5.35308,675
25.3,37,0.59058,5.45787,313
24.6,31,0.68393,5.42499,315
60.7,100,0.67778,5.33682,684
25.5,29,0.69584,5.25928,313
62.85,93,0.67413,5.42378,707
24.85,30,0.63476,5.24519,314
25.0,31,0.56355,5.35321,314
74.7,126,0.63695,5.39015,824
62.65,86,0.5461,5.47372,704
23.15,35,0.31066,5.37304,298
76.3,165,0.59135,5.38663,847
104.35,142,0.68986,5.40894,1130
65.0,87,0.44369,5.42706,724
73.9,138,0.53291,5.4449,823
62.8,84,0.73029,5.37041,702
79.15,161,0.50521,5.43249,879
60.55,71,0.55621,5.41191,680
23.75,33,0.4417,5.37999,304
75.35,122,0.66267,5.38967,822
61.1,90,0.66375,5.45073,695
79.25,265,0.59218,5.49139,898
60.95,152,0.48335,5.47115,694
73.85,143,0.56177,5.43742,826
106.0,135,0.7164,5.49311,1150
24.8,30,0.55124,5.42386,312
61.5,75,0.60795,5.49442,682
81.7,157,0.66309,5.41907,898
22.8,37,0.68816,5.54011,303
81.3,145,0.6308,5.51749,899
24.3,34,0.61672,5.50978,306
24.1,38,0.6332,5.44508,306
62.15,77,0.60191,5.5251,692
61.6,76,0.47583,5.54349,689
61.55,86,0.55632,5.5123,693
114.45,136,0.53195,5.53061,1225
60.85,79,0.67602,5.4966,679
103.9,145,0.61589,5.5035,1124
103.25,207,0.5845,5.53951,1127
61.25,89,0.6264,5.55211,695
104.5,179,0.60472,5.58505,1126
23.2,37,0.53421,5.55636,307
24.3,41,0.85196,5.54128,304
21.5,49,0.70056,5.50856,281
61.75,92,0.85443,5.49712,696
157.65,226,0.57697,5.55005,1677
142.45,234,0.72117,5.50077,1526
142.0,234,0.59696,5.45526,1529
23.55,40,0.75092,5.45535,298
22.8,42,0.71928,5.44483,299
25.1,31,0.61106,5.39181,310
131.45,217,0.7128,5.43888,1412
23.95,32,0.31807,5.46478,311
116.25,153,0.61375,5.45478,1242
22.75,41,0.59286,5.51282,296
62.5,91,0.77302,5.42503,701
61.85,105,0.52651,5.47692,700
62.75,85,0.77321,5.47116,705
60.05,100,0.55996,5.48992,674
24.85,30,0.68466,5.50534,310
22.9,37,0.46904,5.46914,298
134.15,180,0.62195,5.44619,1432
78.6,139,0.57397,5.46214,865
104.5,196,0.70742,5.44577,1136
22.05,40,0.4238,5.51784,298
25.1,30,0.22641,5.50894,314
61.55,97,0.53952,5.45139,689
78.3,146,0.60752,5.43281,864
23.55,36,0.94797,5.36723,302
24.8,32,0.78705,5.3082,312
20.8,49,0.72703,5.40541,279
62.85,89,0.65792,5.36534,701
23.35,40,0.68123,5.35438,301
142.9,220,0.73594,5.367,1526
102.55,211,0.52528,5.39302,1126
24.65,36,0.49928,5.3236,309
24.5,34,0.36894,5.41632,314
23.8,37,0.8486,5.45305,298
73.55,179,0.67173,5.35584,829
24.95,34,0.57926,5.40015,310
22.4,40,0.52246,5.48724,293
158.2,294,0.57991,5.43754,1678
20.7,43,0.53013,5.47681,293
191.3,337,0.57575,5.42553,2017
22.8,31,0.29172,5.41582,312
24.9,30,0.51736,5.4711,313
62.0,98,0.61855,5.40918,697
24.0,34,0.46076,5.4038,303
131.8,174,0.64074,5.41981,1404
59.2,128,0.64922,5.41862,673
133.8,218,0.71798,5.36927,1434
60.6,88,0.54108,5.44384,686
22.7,36,0.53803,5.36172,297
104.1,186,0.61998,5.38065,1130
134.4,200,0.51438,5.43122,1431
23.6,28,0.57526,5.37208,314
114.9,210,0.66666,5.39578,1244
24.0,32,0.3743,5.30455,303
24.6,29,0.75508,5.48357,313
105.2,131,0.65736,5.40145,1129
23.1,42,0.52946,5.44636,302
25.1,30,0.57519,5.43275,313
104.3,159,0.60602,5.38827,1131
102.35,284,0.60387,5.39686,1128
23.45,36,0.7263,5.3286,307
132.75,258,0.54198,5.40333,1434
78.3,157,0.59616,5.3985,871
23.25,41,0.81972,5.3611,300
104.15,183,0.68692,5.38393,1126
104.35,127,0.4894,5.4025,1127
23.3,39,0.63991,5.45462,302
25.0,30,0.71353,5.37803,313
72.0,104,0.62377,5.36386,792
60.95,85,0.61087,5.40717,686
60.65,65,0.66699,5.33382,680
76.0,147,0.5147,5.39982,842
131.35,277,0.57425,5.4059,1429
63.25,161,0.56728,5.37442,723
62.95,81,0.59732,5.36035,701
24.45,34,0.54061,5.36739,311
61.9,70,0.52675,5.40058,690
104.1,215,0.49459,5.41188,1129
60.7,103,0.54419,5.51257,695
114.5,173,0.53942,5.50723,1236
62.05,68,0.39203,5.55599,688
62.65,72,0.60492,5.46135,701
61.65,96,0.50483,5.49608,690
25.35,32,0.40731,5.55706,315
61.05,95,0.67601,5.50013,690
61.35,106,0.58213,5.48464,690
62.7,88,0.63726,5.51294,701
22.8,38,0.68319,5.45447,298
25.1,36,0.66986,5.43971,310
134.2,224,0.7322,5.4119,1434
131.7,211,0.72391,5.38863,1422
62.15,81,0.47525,5.39492,703
103.95,197,0.72399,5.39325,1127
23.0,37,0.73878,5.35462,304
101.6,343,0.6128,5.40574,1130
104.15,126,0.63274,5.39083,1125
24.15,31,0.65066,5.42857,313
102.85,236,0.57857,5.40264,1129
142.6,255,0.6941,5.38869,1523
60.05,66,0.90258,5.23671,679
63.15,107,0.396,5.41632,707
133.85,205,0.65556,5.39353,1439
62.2,96,0.6511,5.36236,704
60.5,110,0.58155,5.37788,684
104.25,172,0.56673,5.40111,1125
22.95,40,0.49183,5.37754,302
105.15,142,0.51453,5.41846,1128
103.35,165,0.71151,5.36165,1123
23.8,31,0.69142,5.31907,306
61.4,93,0.55111,5.39001,685
61.0,107,0.51787,5.45527,692
192.85,227,0.44312,5.48212,2019
62.25,83,0.69469,5.43523,708
103.8,205,0.46793,5.48051,1123
60.35,76,0.55926,5.49125,679
115.6,133,0.57078,5.44147,1245
104.05,166,0.53532,5.46223,1127
103.1,169,0.69876,5.46842,1123
60.1,60,0.66418,5.54488,675
116.15,165,0.68001,5.49551,1245
60.5,73,0.54336,5.54547,676
24.65,32,0.46785,5.47104,313
60.8,80,0.55532,5.50454,681
61.55,91,0.47507,5.55799,694
74.8,212,0.7363,5.48007,842
60.35,69,0.99016,5.47136,680
190.9,322,0.6388,5.5088,2021
62.2,90,0.55347,5.55406,708
24.7,30,0.61272,5.52159,311
128.5,360,0.58465,5.51495,1404
22.4,42,0.69792,5.48645,294
133.3,217,0.52797,5.51561,1434
76.8,180,0.62805,5.58784,861
63.45,74,0.47558,5.67374,709
