Rewards,Lengths,Loss,Q1,Best_Distances
104.4,183,0.77298,5.56045,1130
23.9,33,1.09026,5.59836,307
23.1,40,0.86739,5.54382,296
23.0,40,0.56574,5.53157,295
23.9,38,0.49689,5.61445,304
23.3,36,1.16633,5.6203,297
99.05,412,0.82833,5.54967,1126
101.85,318,0.86335,5.58064,1130
24.2,30,0.44889,5.58244,315
61.35,78,0.86475,5.5251,684
24.75,30,1.03073,5.58827,314
25.0,30,1.11766,5.54204,314
103.25,209,0.74606,5.55045,1126
141.65,230,0.81976,5.58465,1523
24.8,31,0.77522,5.60382,312
25.0,30,0.67174,5.61436,314
25.0,30,0.65414,5.60246,314
73.05,214,0.77391,5.57609,828
24.85,30,0.83135,5.51768,315
104.55,157,0.9072,5.50067,1131
63.8,145,0.92021,5.51741,722
24.55,30,0.75647,5.51703,312
79.8,226,0.76478,5.54598,898
24.9,30,0.74511,5.58429,313
103.15,210,0.8021,5.50602,1126
23.85,33,1.02501,5.59503,305
25.0,30,1.09921,5.52022,314
62.5,69,0.99825,5.45262,696
24.9,30,0.82094,5.55221,313
24.2,35,0.71869,5.61812,307
25.0,30,0.89503,5.61176,314
62.35,91,0.91636,5.49276,697
103.6,179,0.79924,5.5877,1127
62.25,127,0.89162,5.55029,708
76.6,202,0.72598,5.57634,859
25.0,30,0.76256,5.63943,314
23.3,35,0.85256,5.57162,301
63.15,93,1.09359,5.51236,705
23.75,33,0.86346,5.56561,304
25.0,30,0.88157,5.58402,314
24.6,31,0.8527,5.57074,310
63.95,152,0.87003,5.54187,722
24.75,30,0.89489,5.4688,314
25.0,30,0.52985,5.50854,314
24.8,31,1.06858,5.57769,312
24.9,30,0.44586,5.58043,312
24.2,34,0.50384,5.58762,306
75.8,197,0.74494,5.55283,845
24.0,30,0.69285,5.50914,314
25.0,30,0.52164,5.62112,314
24.9,30,1.53059,5.60222,313
24.2,35,0.92333,5.38753,307
104.75,145,0.79072,5.52501,1130
62.7,135,0.73486,5.54439,712
24.35,31,1.06649,5.43209,310
60.9,176,0.69087,5.53685,702
61.55,80,0.79336,5.56547,686
24.55,35,0.75198,5.48888,313
25.0,30,0.59071,5.54518,314
25.0,30,0.77054,5.59844,314
24.9,30,0.7719,5.58116,313
24.9,30,0.57179,5.55587,313
63.3,173,0.61276,5.56609,722
25.0,30,0.5202,5.58862,314
24.0,33,0.97171,5.59279,304
24.9,31,0.95008,5.48422,313
82.0,142,0.76592,5.55315,898
24.5,30,0.82856,5.49529,314
134.05,194,0.79029,5.5218,1434
24.75,35,1.20481,5.51209,314
104.35,159,0.84191,5.51602,1127
60.25,99,1.0145,5.47224,682
63.8,76,0.99059,5.51375,711
169.8,256,0.86757,5.52463,1797
24.2,29,0.96185,5.43458,315
23.6,34,0.89828,5.44854,300
25.0,30,0.92541,5.5139,314
24.6,34,1.09954,5.57518,310
62.75,92,0.63669,5.56897,701
24.95,30,0.83942,5.59786,311
60.15,81,0.89723,5.49095,678
24.75,30,0.93748,5.57814,314
80.95,209,0.7783,5.53166,899
59.85,82,0.78682,5.56191,680
24.8,30,0.67061,5.54959,312
24.3,33,0.93962,5.53356,307
24.4,35,0.5901,5.5127,303
24.5,30,0.94657,5.58198,314
24.8,30,0.79087,5.56099,312
25.1,34,1.08434,5.50224,315
24.5,35,0.72445,5.42826,310
25.0,31,0.71405,5.45257,314
24.6,34,1.0725,5.52628,310
25.0,30,0.83927,5.51257,314
134.3,222,0.75799,5.53703,1435
62.35,100,0.71565,5.56196,709
63.3,76,0.73316,5.53991,706
60.6,87,0.78132,5.51646,681
77.25,168,0.75358,5.53685,861
24.6,31,0.85435,5.64645,315
25.0,30,0.75279,5.62802,314
23.9,34,0.78504,5.53788,303
23.7,36,0.9543,5.46962,300
25.0,29,0.63245,5.50379,313
25.0,30,0.85481,5.59049,314
77.9,202,0.54881,5.62184,872
24.5,30,0.60294,5.59194,314
60.35,96,1.03251,5.50105,678
24.45,34,0.64985,5.51419,311
104.45,209,0.80252,5.54662,1129
23.75,30,0.93115,5.55711,314
63.1,75,0.86125,5.50793,699
24.3,29,0.35072,5.55092,311
103.7,196,0.67963,5.56986,1127
60.4,102,0.91074,5.50802,687
24.8,30,0.51151,5.55073,312
143.0,216,0.84085,5.54765,1526
24.5,30,0.90755,5.47413,314
61.55,84,0.80394,5.50292,687
104.9,171,0.86918,5.50154,1129
23.75,30,0.72084,5.60983,314
25.3,31,0.78385,5.55148,312
23.1,34,1.07402,5.45829,300
24.6,31,0.94503,5.43835,310
25.0,30,0.35649,5.45878,314
25.2,34,0.80063,5.48529,316
24.7,29,0.98068,5.44444,310
25.2,30,0.52635,5.41962,315
82.0,142,1.18023,5.39157,900
60.15,129,0.7865,5.43318,687
60.65,74,0.8594,5.46119,681
58.5,110,0.74152,5.50644,664
63.65,96,0.76805,5.45519,711
